quantile,value,pert_id,n_batches_pert,cell_line
0.2,3.610519489061538,Celecoxib,2,sciplex_MCF7
0.5,4.968332400691219,Celecoxib,2,sciplex_MCF7
0.8,5.478889340865185,Celecoxib,2,sciplex_MCF7
0.9,5.567643539995048,Celecoxib,2,sciplex_MCF7
0.99,5.845371586135156,Celecoxib,2,sciplex_MCF7
0.995,5.863818089380525,Celecoxib,2,sciplex_MCF7
0.1,3.416350084893043,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.2,3.4970893599738417,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.5,4.858166699837621,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.8,5.198604504097629,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.9,5.533207696651104,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.99,5.771877952010638,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.995,5.896323285074587,"Cerdulatinib (PRT062070, PRT2070)",2,sciplex_MCF7
0.1,3.618475131663852,Cimetidine ,2,sciplex_MCF7
0.2,3.6941186850054724,Cimetidine ,2,sciplex_MCF7
0.5,3.915171390581182,Cimetidine ,2,sciplex_MCF7
0.8,5.737780444968654,Cimetidine ,2,sciplex_MCF7
0.9,5.867656820821513,Cimetidine ,2,sciplex_MCF7
0.99,6.156597325844526,Cimetidine ,2,sciplex_MCF7
0.995,6.178551264565576,Cimetidine ,2,sciplex_MCF7
0.1,3.3010362536145164,Clevudine ,2,sciplex_MCF7
0.2,3.406391210718693,Clevudine ,2,sciplex_MCF7
0.5,4.546345887222823,Clevudine ,2,sciplex_MCF7
0.8,4.912205932017608,Clevudine ,2,sciplex_MCF7
0.9,5.169994916172093,Clevudine ,2,sciplex_MCF7
0.99,5.40741364103848,Clevudine ,2,sciplex_MCF7
0.995,5.68254386656002,Clevudine ,2,sciplex_MCF7
0.1,3.4156985804480438,Costunolide,2,sciplex_MCF7
0.2,3.4732571351851282,Costunolide,2,sciplex_MCF7
0.5,3.644230790808559,Costunolide,2,sciplex_MCF7
0.8,5.1866330050037694,Costunolide,2,sciplex_MCF7
0.9,5.486658423093777,Costunolide,2,sciplex_MCF7
0.99,5.772528561353068,Costunolide,2,sciplex_MCF7
0.995,5.83582947454075,Costunolide,2,sciplex_MCF7
