cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
Jurkat,0,0.7957066297531128,0.5181795358657837,0.5972446203231812,0.8532362580299377,0.541483998298645,,0.99
Hep-G2,1,0.8022147417068481,0.5694420337677002,0.6578706502914429,0.8472800254821777,0.6052168607711792,,0.99
K-562,3,0.8598570227622986,0.582177460193634,0.6818369626998901,0.8554600477218628,0.6225196123123169,,0.99
hTERT-RPE1,0,0.8257625102996826,0.5634370446205139,0.6569342017173767,0.8424277305603027,0.6008480191230774,,0.99
K-562,1,0.8626458048820496,0.5761441588401794,0.6749600172042847,0.8511079549789429,0.6165277361869812,,0.99
K-562,2,0.8636380434036255,0.5784322619438171,0.6779736876487732,0.850145161151886,0.6200680136680603,,0.99
Hep-G2,2,0.8037487268447876,0.5705979466438293,0.6597633361816406,0.8468785285949707,0.6052539944648743,,0.99
Hep-G2,3,0.8073596358299255,0.567648708820343,0.6567234992980957,0.8489959836006165,0.6017571687698364,,0.99
Hep-G2,4,0.8029422760009766,0.5810934901237488,0.6699015498161316,0.8520175218582153,0.6168525218963623,,0.99
hTERT-RPE1,1,0.8149092197418213,0.573714554309845,0.6655656099319458,0.8400005102157593,0.6118054389953613,,0.99
K-562,0,0.8560597896575928,0.5585457682609558,0.6556298136711121,0.8543392419815063,0.5942481160163879,,0.99
hTERT-RPE1,4,0.8176001310348511,0.5783077478408813,0.6697116494178772,0.8433980345726013,0.6157276034355164,,0.99
Jurkat,1,0.7924838066101074,0.5280320048332214,0.6099997162818909,0.8433082103729248,0.5548787713050842,,0.99
Jurkat,4,0.7968514561653137,0.528442919254303,0.6085564494132996,0.8509437441825867,0.5523331165313721,,0.99
Hep-G2,0,0.800849199295044,0.5612747669219971,0.6477541327476501,0.8551343083381653,0.592389702796936,,0.99
Jurkat,3,0.8199256062507629,0.5286442637443542,0.615043044090271,0.8488215208053589,0.55611652135849,,0.99
hTERT-RPE1,2,0.8332375288009644,0.5794368386268616,0.6752885580062866,0.8433626294136047,0.6198098063468933,,0.99
Jurkat,2,0.7988643646240234,0.5234017372131348,0.6048225164413452,0.8482947945594788,0.548510730266571,,0.99
Hep-G2,0,0.800849199295044,0.5612747669219971,0.6477541327476501,0.8551343083381653,0.592389702796936,,0.995
Jurkat,2,0.7988643646240234,0.5234017372131348,0.6048225164413452,0.8482947945594788,0.548510730266571,,0.995
Hep-G2,2,0.8037487268447876,0.5705979466438293,0.6597633361816406,0.8468785285949707,0.6052539944648743,,0.995
K-562,4,0.8646337389945984,0.5818274617195129,0.6817305088043213,0.8579795956611633,0.6214102506637573,,0.995
K-562,0,0.8560597896575928,0.5585457682609558,0.6556298136711121,0.8543392419815063,0.5942481160163879,,0.995
K-562,3,0.8598570227622986,0.582177460193634,0.6818369626998901,0.8554600477218628,0.6225196123123169,,0.995
Hep-G2,1,0.8022147417068481,0.5694420337677002,0.6578706502914429,0.8472800254821777,0.6052168607711792,,0.995
Jurkat,1,0.7924838066101074,0.5280320048332214,0.6099997162818909,0.8433082103729248,0.5548787713050842,,0.995
Jurkat,3,0.8199256062507629,0.5286442637443542,0.615043044090271,0.8488215208053589,0.55611652135849,,0.995
hTERT-RPE1,0,0.8257625102996826,0.5634370446205139,0.6569342017173767,0.8424277305603027,0.6008480191230774,,0.995
hTERT-RPE1,2,0.8332375288009644,0.5794368386268616,0.6752885580062866,0.8433626294136047,0.6198098063468933,,0.995
K-562,1,0.8626458048820496,0.5761441588401794,0.6749600172042847,0.8511079549789429,0.6165277361869812,,0.995
