,dataset,fold,metrics,name,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,roc_auc,average_precision,cell_line,quantile
50,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.40095439553260803, 'recall': 0.5047413110733032, 'precision': 0.4150725305080414, 'f1_classwise': 0.36945128440856934, 'f1_score_nans_are_zeros': 0.35851478576660156, 'primary_metric': 'f1_score'}",scGenePT_GO_MF_(D=1536),0.40095439553260803,0.5047413110733032,0.4150725305080414,0.36945128440856934,0.35851478576660156,f1_score,,,Hep-G2,
51,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.4322357475757599, 'recall': 0.5451775789260864, 'precision': 0.43231871724128723, 'f1_classwise': 0.40231195092201233, 'f1_score_nans_are_zeros': 0.388034462928772, 'primary_metric': 'f1_score'}",scGenePT_GO_all_(D=1536),0.4322357475757599,0.5451775789260864,0.43231871724128723,0.40231195092201233,0.388034462928772,f1_score,,,Hep-G2,
83,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.3973675072193146, 'recall': 0.4553787410259247, 'precision': 0.4040185809135437, 'f1_classwise': 0.36097535490989685, 'f1_score_nans_are_zeros': 0.35365426540374756, 'primary_metric': 'f1_score'}",scGenePT_NCBI_(D=1536),0.3973675072193146,0.4553787410259247,0.4040185809135437,0.36097535490989685,0.35365426540374756,f1_score,,,Jurkat,
48,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.39550453424453735, 'recall': 0.4595820903778076, 'precision': 0.405903160572052, 'f1_classwise': 0.3772638142108917, 'f1_score_nans_are_zeros': 0.3708919882774353, 'primary_metric': 'f1_score'}",scGenePT_NCBI+UniProt_(D=1536),0.39550453424453735,0.4595820903778076,0.405903160572052,0.3772638142108917,0.3708919882774353,f1_score,,,hTERT-RPE1,
45,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.37398067116737366, 'recall': 0.4451170265674591, 'precision': 0.3909159004688263, 'f1_classwise': 0.3642481863498688, 'f1_score_nans_are_zeros': 0.35961583256721497, 'primary_metric': 'f1_score'}",PCA_Fair_essential_CELL_LINE_controls_(D=128),0.37398067116737366,0.4451170265674591,0.3909159004688263,0.3642481863498688,0.35961583256721497,f1_score,,,K-562,
49,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.34313341975212097, 'recall': 0.36029335856437683, 'precision': 0.35777154564857483, 'f1_classwise': 0.3233742415904999, 'f1_score_nans_are_zeros': 0.32091718912124634, 'primary_metric': 'f1_score'}",AIDO.Cell_100M_positional_(D=640),0.34313341975212097,0.36029335856437683,0.35777154564857483,0.3233742415904999,0.32091718912124634,f1_score,,,hTERT-RPE1,
52,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.4272693991661072, 'recall': 0.5253310203552246, 'precision': 0.4300411641597748, 'f1_classwise': 0.396299809217453, 'f1_score_nans_are_zeros': 0.3827343285083771, 'primary_metric': 'f1_score'}",KG_WaveGC_G_StringDB_combined_0.0_(D=128),0.4272693991661072,0.5253310203552246,0.4300411641597748,0.396299809217453,0.3827343285083771,f1_score,,,Hep-G2,
53,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.3621947467327118, 'recall': 0.3976072669029236, 'precision': 0.3841000199317932, 'f1_classwise': 0.32733479142189026, 'f1_score_nans_are_zeros': 0.32204875349998474, 'primary_metric': 'f1_score'}",AIDOdna_(D=4352),0.3621947467327118,0.3976072669029236,0.3841000199317932,0.32733479142189026,0.32204875349998474,f1_score,,,Hep-G2,
46,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.3496551215648651, 'recall': 0.4201118052005768, 'precision': 0.3698250353336334, 'f1_classwise': 0.3387943208217621, 'f1_score_nans_are_zeros': 0.3355880677700043, 'primary_metric': 'f1_score'}",AIDOcell_3M_essential_CELL_LINE_2025_11_26_(D=128),0.3496551215648651,0.4201118052005768,0.3698250353336334,0.3387943208217621,0.3355880677700043,f1_score,,,K-562,
50,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.25510644912719727, 'recall': 0.3745788633823395, 'precision': 0.36443325877189636, 'f1_classwise': 0.24047672748565674, 'f1_score_nans_are_zeros': 0.23726865649223328, 'primary_metric': 'f1_score'}",AIDOprot_first_(D=384),0.25510644912719727,0.3745788633823395,0.36443325877189636,0.24047672748565674,0.23726865649223328,f1_score,,,hTERT-RPE1,
54,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.4100031852722168, 'recall': 0.47203513979911804, 'precision': 0.4139547049999237, 'f1_classwise': 0.3770056664943695, 'f1_score_nans_are_zeros': 0.36624637246131897, 'primary_metric': 'f1_score'}",RAG-16B_Human_Protein_Embedding_with_structure_mean_pooled_(D=2304),0.4100031852722168,0.47203513979911804,0.4139547049999237,0.3770056664943695,0.36624637246131897,f1_score,,,Hep-G2,
47,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.4057469367980957, 'recall': 0.5119373798370361, 'precision': 0.4027169942855835, 'f1_classwise': 0.3954646587371826, 'f1_score_nans_are_zeros': 0.3903568387031555, 'primary_metric': 'f1_score'}",GenotypeVAE_(D=256),0.4057469367980957,0.5119373798370361,0.4027169942855835,0.3954646587371826,0.3903568387031555,f1_score,,,K-562,
84,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.3167756199836731, 'recall': 0.5049026012420654, 'precision': 0.39729753136634827, 'f1_classwise': 0.2866884768009186, 'f1_score_nans_are_zeros': 0.28125765919685364, 'primary_metric': 'f1_score'}",STRING_Spectral_Medium_Conf_(D=128),0.3167756199836731,0.5049026012420654,0.39729753136634827,0.2866884768009186,0.28125765919685364,f1_score,,,Jurkat,
