,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
104,expression/pert_prediction_tahoe_deg,CVCL_1097.1,"{'f1_score': 0.5692585110664368, 'recall': 0.5819753408432007, 'precision': 0.5863125920295715, 'f1_classwise': 0.3607276380062103, 'f1_score_nans_are_zeros': 0.324850857257843, 'primary_metric': 'f1_score'}",unimol2-570m-H,,,0.5692585110664368,0.5819753408432007,0.5863125920295715,0.3607276380062103,0.324850857257843,f1_score,CVCL_1097,
90,expression/pert_prediction_tahoe_deg,CVCL_1285.2,"{'f1_score': 0.5101402401924133, 'recall': 0.530654788017273, 'precision': 0.5199934244155884, 'f1_classwise': 0.3840632438659668, 'f1_score_nans_are_zeros': 0.3469269275665283, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_weighted,,,0.5101402401924133,0.530654788017273,0.5199934244155884,0.3840632438659668,0.3469269275665283,f1_score,CVCL_1285,
103,expression/pert_prediction_tahoe_deg,CVCL_1119.1,"{'f1_score': 0.5507956743240356, 'recall': 0.5595526099205017, 'precision': 0.5579847693443298, 'f1_classwise': 0.36633697152137756, 'f1_score_nans_are_zeros': 0.33262747526168823, 'primary_metric': 'f1_score'}",boltz_affinity_pred_value_protein,,,0.5507956743240356,0.5595526099205017,0.5579847693443298,0.36633697152137756,0.33262747526168823,f1_score,CVCL_1119,
89,expression/pert_prediction_tahoe_deg,CVCL_1097.2,"{'f1_score': 0.5812584757804871, 'recall': 0.5836916565895081, 'precision': 0.5941457748413086, 'f1_classwise': 0.41479411721229553, 'f1_score_nans_are_zeros': 0.3732108473777771, 'primary_metric': 'f1_score'}",gene_targets_confidence_name_only,,,0.5812584757804871,0.5836916565895081,0.5941457748413086,0.41479411721229553,0.3732108473777771,f1_score,CVCL_1097,
104,expression/pert_prediction_tahoe_deg,CVCL_1094.1,"{'f1_score': 0.6066139936447144, 'recall': 0.6138027310371399, 'precision': 0.6225786209106445, 'f1_classwise': 0.35003307461738586, 'f1_score_nans_are_zeros': 0.3216882348060608, 'primary_metric': 'f1_score'}",erg,,,0.6066139936447144,0.6138027310371399,0.6225786209106445,0.35003307461738586,0.3216882348060608,f1_score,CVCL_1094,
89,expression/pert_prediction_tahoe_deg,CVCL_1125.2,"{'f1_score': 0.7389304637908936, 'recall': 0.7399016618728638, 'precision': 0.7409921884536743, 'f1_classwise': 0.34948626160621643, 'f1_score_nans_are_zeros': 0.332963764667511, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_concat,,,0.7389304637908936,0.7399016618728638,0.7409921884536743,0.34948626160621643,0.332963764667511,f1_score,CVCL_1125,
103,expression/pert_prediction_tahoe_deg,CVCL_1098.1,"{'f1_score': 0.6532846689224243, 'recall': 0.6585977673530579, 'precision': 0.6552925705909729, 'f1_classwise': 0.369207501411438, 'f1_score_nans_are_zeros': 0.33821699023246765, 'primary_metric': 'f1_score'}",chatgpt,,,0.6532846689224243,0.6585977673530579,0.6552925705909729,0.369207501411438,0.33821699023246765,f1_score,CVCL_1098,
91,expression/pert_prediction_tahoe_deg,CVCL_1285.2,"{'f1_score': 0.4767500162124634, 'recall': 0.5104960799217224, 'precision': 0.5082170963287354, 'f1_classwise': 0.3502398729324341, 'f1_score_nans_are_zeros': 0.31747832894325256, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_weighted,,,0.4767500162124634,0.5104960799217224,0.5082170963287354,0.3502398729324341,0.31747832894325256,f1_score,CVCL_1285,
90,expression/pert_prediction_tahoe_deg,CVCL_1239.2,"{'f1_score': 0.5968791246414185, 'recall': 0.6119101047515869, 'precision': 0.6090270280838013, 'f1_classwise': 0.3708990514278412, 'f1_score_nans_are_zeros': 0.3327215015888214, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_sum,,,0.5968791246414185,0.6119101047515869,0.6090270280838013,0.3708990514278412,0.3327215015888214,f1_score,CVCL_1239,
105,expression/pert_prediction_tahoe_deg,CVCL_1094.1,"{'f1_score': 0.6130620241165161, 'recall': 0.6261772513389587, 'precision': 0.627472996711731, 'f1_classwise': 0.36212584376335144, 'f1_score_nans_are_zeros': 0.32805201411247253, 'primary_metric': 'f1_score'}",unimol2-570m-H,,,0.6130620241165161,0.6261772513389587,0.627472996711731,0.36212584376335144,0.32805201411247253,f1_score,CVCL_1094,
